row_id,id,row_title,block,+/-,accounts_included,variable_name,text_field,variable_text,ib_ub,calculated,formula,Saldo,always_show,toggle_show,editable,style,item_name,Abstrakt,Datatyp,period_type,block_sub
24,724,Återförda avskrivningar vid försäljningar/utrangeringar,BYGG,,,aterfor_avskr_fsg_bygg,,,,,,,false,true,true,,ByggnaderMarkForandringAvskrivningarAterfordaAvskrivningarForsaljningarRespUtrangeringar,false,xbrli:monetaryItemType,duration,AVSKR
25,725,Omklassificeringar,BYGG,,,,,,,,,,false,true,true,,ByggnaderMarkForandringAvskrivningarOmklassificeringar,false,xbrli:monetaryItemType,duration,AVSKR
26,726,Årets avskrivningar,BYGG,,,arets_avskr_bygg,,,,,,,true,,,,ByggnaderMarkForandringAvskrivningarAretsAvskrivningar,false,xbrli:monetaryItemType,duration,AVSKR
27,727,Omräkningsdifferenser,BYGG,,,,,,,,,,false,,,,ByggnaderMarkForandringAvskrivningarOmrakningsdifferenser,false,xbrli:monetaryItemType,duration,AVSKR
28,728,Utgående avskrivningar,BYGG,,1119;1159,ack_avskr_bygg_ub,,,UB,,,credit,true,,,S2,ByggnaderMarkAvskrivningar,false,xbrli:monetaryItemType,instant,AVSKR
29,,Uppskrivningar,BYGG,,,,,,,,,,false,,,H3,,,,,UPPSKR
30,729,Ingående uppskrivningar,BYGG,,,ack_uppskr_bygg_ib,,,,,,debit,false,true,true,,ByggnaderMarkUppskrivningar,false,xbrli:monetaryItemType,instant,UPPSKR
31,730,Förändringar av uppskrivningar,BYGG,,,,,,,,,,false,,,,ByggnaderMarkForandringUppskrivningarAbstract,true,xbrli:stringItemType,duration,UPPSKR
32,731,Fusion,BYGG,,,,,,,,,,false,,,,ByggnaderMarkForandringUppskrivningarFusion,false,xbrli:monetaryItemType,duration,UPPSKR
33,732,Återförda uppskrivningar vid försäljningar/utrangeringar,BYGG,,,aterfor_uppskr_fsg_bygg,,,,,,,false,true,true,,ByggnaderMarkForandringUppskrivningarAterfordaUppskrivningarForsaljningarRespUtrangeringar,false,xbrli:monetaryItemType,duration,UPPSKR
34,733,Omklassificeringar,BYGG,,,,,,,,,,false,true,true,,ByggnaderMarkForandringUppskrivningarOmklassificeringar,false,xbrli:monetaryItemType,duration,UPPSKR
35,734,Årets uppskrivningar,BYGG,,,arets_uppskr_bygg,,,,,,,false,true,true,,ByggnaderMarkForandringUppskrivningarAretsUppskrivningar,false,xbrli:monetaryItemType,duration,UPPSKR
36,735,Årets avskrivningar på uppskrivet belopp,BYGG,,,arets_avskr_uppskr_bygg,,,,,,,false,true,true,,ByggnaderMarkForandringUppskrivningarAretsAvskrivningarUppskrivetBelopp,false,xbrli:monetaryItemType,duration,UPPSKR
37,736,Omräkningsdifferenser,BYGG,,,,,,,,,,false,,,,ByggnaderMarkForandringUppskrivningarOmrakningsdifferenser,false,xbrli:monetaryItemType,duration,UPPSKR
38,737,Utgående uppskrivningar,BYGG,,,ack_uppskr_bygg_ub,,,,,,debit,false,true,,S2,ByggnaderMarkUppskrivningar,false,xbrli:monetaryItemType,instant,UPPSKR
39,,Nedskrivningar,BYGG,,,,,,,,,,false,,,H3,,,,,NEDSKR
40,738,Ingående nedskrivningar,BYGG,,1118;1158,ack_nedskr_bygg_ib,,,IB,,,credit,false,true,true,,ByggnaderMarkNedskrivningar,false,xbrli:monetaryItemType,instant,NEDSKR
41,739,Förändringar av nedskrivningar,BYGG,,,,,,,,,,false,,,,ByggnaderMarkForandringNedskrivningarAbstract,true,xbrli:stringItemType,duration,NEDSKR
42,740,Fusion,BYGG,,,,,,,,,,false,,,,ByggnaderMarkForandringNedskrivningarFusion,false,xbrli:monetaryItemType,duration,NEDSKR
43,741,Återförda nedskrivningar vid försäljningar/utrangeringar,BYGG,,,aterfor_nedskr_fsg_bygg,,,,,,,false,true,true,,ByggnaderMarkForandringNedskrivningarAterfordaNedskrivningarForsaljningarRespUtrangeringar,false,xbrli:monetaryItemType,duration,NEDSKR
44,742,Återförda nedskrivningar,BYGG,,,aterfor_nedskr_bygg,,,,,,,false,true,true,,ByggnaderMarkForandringNedskrivningarAterfordaNedskrivningar,false,xbrli:monetaryItemType,duration,NEDSKR
